Elenco delle specie ricercate all'interno del campione ordinate per ordine alfabetico
Taxon
Agromyces ramosus
Agromyces rhizosphaerae
Agromyces salentinus
Agromyces soli
Agromyces subbeticus
Agromyces subtropicus
Agromyces tardus
Agromyces terreus
Agromyces tropicus
Agromyces ulmi
Ahrensia kielensis
Ahrensia marina
Aidingibacillus halophilus
Aidingimonas halophila
Akkermansia glycaniphila
Akkermansia muciniphila
Albibacter helveticus
Albibacterium bauzanense
Albibacter methylovorans
Albidovulum inexpectatum
Albimonas donghaensis
Albimonas pacifica
Albirhodobacter confluentis
Albirhodobacter marinus
Albitalea terrae
Alcaligenes aquatilis
Alcaligenes endophyticus
Alcaligenes faecalis
Alcaligenes pakistanensis
Alcanivorax balearicus
Alcanivorax borkumensis
Alcanivorax dieselolei
Alcanivorax gelatiniphagus
Alcanivorax hongdengensis
Alcanivorax jadensis
Alcanivorax marinus
Alcanivorax nanhaiticus
Alcanivorax pacificus
Alcanivorax sediminis
Alcanivorax venustensis
Alcanivorax xenomutans
Aldersonia kunmingensis
Algibacter aestuarii
Algibacter agarilyticus
Algibacter agarivorans
Algibacter alginicilyticus
Algibacter aquaticus
Algibacter aquimarinus
Algibacter lectus
Algibacter marinivivus
Algibacter mikhailovii
Algibacter miyuki
Algibacter pectinivorans
Algibacter psychrophilus
Algibacter undariae
Algicola bacteriolytica
Algicola sagamiensis
Algihabitans albus
Algimonas ampicilliniresistens
Algimonas arctica
Algimonas porphyrae
Alginatibacterium sediminis
Algiphilus aromaticivorans
Algisphaera agarilytica
Algitalea ulvae
Algivirga pacifica
Algoriella xinjiangensis
Algorimarina butyrica
Algoriphagus aestuarii
Algoriphagus aestuariicola
Algoriphagus alkaliphilus
Algoriphagus antarcticus
Algoriphagus aquaeductus
Algoriphagus aquaemixtae
Algoriphagus aquatilis
Algoriphagus aquimarinus
Algoriphagus boritolerans
Algoriphagus boseongensis
Algoriphagus chordae
Algoriphagus chungangensis
Algoriphagus confluentis
Algoriphagus faecimaris
Algoriphagus formosus
Algoriphagus halophilus
Algoriphagus hitonicola
Algoriphagus iocasae
Algoriphagus jejuensis
Algoriphagus litoralis
Algoriphagus litorisediminis
Algoriphagus locisalis
Algoriphagus lutimaris
Algoriphagus machipongonensis
Algoriphagus mannitolivorans
Algoriphagus marincola
Algoriphagus marinus
Algoriphagus marisflavi
Algoriphagus namhaensis
Algoriphagus olei
Algoriphagus ornithinivorans
Algoriphagus ratkowskyi
Algoriphagus resistens
Algoriphagus roseus
Algoriphagus shivajiensis
Algoriphagus taeanensis
Algoriphagus taiwanensis
Algoriphagus terrigena
Algoriphagus trabzonensis
Algoriphagus vanfongensis
Algoriphagus winogradskyi
Algoriphagus yeomjeoni
Algoriphagus zhangzhouensis
Aliagarivorans marinus
Aliagarivorans taiwanensis
Aliarcobacter butzleri
Aliarcobacter cibarius
Aliarcobacter cryaerophilus
Aliarcobacter lanthieri
Aliarcobacter skirrowii
Aliarcobacter thereius
Aliarcobacter trophiarum
Alicycliphilus denitrificans
Alicyclobacillus acidiphilus
Alicyclobacillus acidocaldarius
Alicyclobacillus acidoterrestris
Alicyclobacillus aeris
Alicyclobacillus cellulosilyticus
Alicyclobacillus contaminans
Alicyclobacillus cycloheptanicus
Alicyclobacillus disulfidooxidans
Alicyclobacillus fastidiosus
Alicyclobacillus ferrooxydans
Alicyclobacillus fodiniaquatilis
Alicyclobacillus herbarius
Alicyclobacillus hesperidum
Alicyclobacillus kakegawensis
Alicyclobacillus macrosporangiidus
Alicyclobacillus pomorum
Alicyclobacillus sacchari
Alicyclobacillus sendaiensis
Alicyclobacillus shizuokensis
Alicyclobacillus tengchongensis
Alicyclobacillus tolerans
Alicyclobacillus vulcanalis
Alienimonas californiensis
Aliicoccus persicus
Aliidiomarina celeris
Aliidiomarina haloalkalitolerans
Aliidiomarina iranensis
Aliidiomarina maris
Aliidiomarina minuta
Aliidiomarina sanyensis
Aliidiomarina sedimenti
Aliidiomarina shirensis
Aliidiomarina soli
Aliidiomarina taiwanensis
Aliidongia dinghuensis
Aliifodinibius halophilus
Aliifodinibius roseus
Aliifodinibius salicampi
Aliifodinibius sediminis
Aliiglaciecola aliphaticivorans
Aliiglaciecola coringensis
Aliiglaciecola lipolytica
Aliiglaciecola litoralis
Aliihoeflea aestuarii
Aliikangiella coralliicola
Aliikangiella marina
Aliiroseovarius crassostreae
Aliiroseovarius halocynthiae
Aliiroseovarius pelagivivens
Aliiroseovarius sediminilitoris
Aliiroseovarius zhejiangensis
Aliiruegeria haliotis
Aliiruegeria lutimaris
Aliiruegeria sabulilitoris
Aliishimia ponticola
Aliivibrio finisterrensis
Aliivibrio fischeri
Aliivibrio logei
Aliivibrio salmonicida
Aliivibrio sifiae
Aliivibrio wodanis
Alishewanella aestuarii
Alishewanella agri
Alishewanella alkalitolerans
Alishewanella fetalis
Alishewanella jeotgali
Alishewanella longhuensis
Alishewanella solinquinati
Alishewanella tabrizica
Alistipes communis
Alistipes finegoldii
Alistipes ihumii
Alistipes indistinctus
Alistipes inops
Alistipes onderdonkii
Alistipes putredinis
Alistipes senegalensis
Alistipes shahii
Alistipes timonensis
Alkalibacillus almallahensis
Alkalibacillus filiformis
Alkalibacillus flavidus
Alkalibacillus haloalkaliphilus
Alkalibacillus halophilus
Alkalibacillus salilacus
Alkalibacillus silvisoli
Alkalibacterium gilvum
Alkalibacterium iburiense
Alkalibacterium indicireducens
Alkalibacterium kapii
Alkalibacterium olivapovliticus
Alkalibacterium pelagium
Alkalibacterium psychrotolerans
Alkalibacterium putridalgicola
Alkalibacterium subtropicum
Alkalibacterium thalassium
Alkalibacter saccharofermentans
Alkalibaculum bacchi
Alkalibaculum sporogenes
Alkalicella caledoniensis
Alkalicoccobacillus murimartini
Alkalicoccus chagannorensis
Alkalicoccus daliensis
Alkalicoccus halolimnae
Alkalicoccus luteus
Alkalicoccus saliphilus
Alkalicoccus urumqiensis
Alkaliflexus imshenetskii
Alkalihalobacillus akibai
Alkalihalobacillus alcalophilus
Alkalihalobacillus algicola
Alkalihalobacillus alkalisediminis
Alkalihalobacillus berkeleyi
Alkalihalobacillus bogoriensis
Alkalihalobacillus caeni
Alkalihalobacillus clausii
Alkalihalobacillus decolorationis
Alkalihalobacillus gibsonii
Alkalihalobacillus halodurans
Alkalihalobacillus hemicellulosilyticus
Alkalihalobacillus hemicentroti
Alkalihalobacillus hunanensis
Alkalihalobacillus hwajinpoensis
Alkalihalobacillus kiskunsagensis
Alkalihalobacillus krulwichiae
Alkalihalobacillus lehensis
Alkalihalobacillus lindianensis
Alkalihalobacillus lonarensis
Alkalihalobacillus macyae
Alkalihalobacillus nanhaiisediminis
Alkalihalobacillus oceani
Alkalihalobacillus okhensis
Alkalihalobacillus oshimensis
Alkalihalobacillus patagoniensis
Alkalihalobacillus plakortidis
